,基隆市,臺北市,新北市,桃園市,新竹市,新竹縣,苗栗縣,臺中市,彰化縣,南投縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,澎湖縣
drought,0.24436274509803912,0.23055555555555562,0.23333333333333323,0.21437908496732033,0.2063725490196079,0.20620915032679737,0.20204248366013067,0.20743464052287583,0.1897058823529411,0.21127450980392154,0.1909313725490196,0.19697712418300653,0.18929738562091497,0.18243464052287583,0.1959967320261438,0.17630718954248367,0.22924836601307189,0.21274509803921557,0.19901960784313727,0.1732026143790849
severe drought,0.04550653594771241,0.03455882352941175,0.03496732026143789,0.0267156862745098,0.021241830065359475,0.02312091503267973,0.018545751633986928,0.017075163398692812,0.006944444444444445,0.014624183006535944,0.005228758169934642,0.005718954248366014,0.0033496732026143793,0.0017973856209150326,0.004493464052287581,0.0008169934640522875,0.027450980392156855,0.01764705882352941,0.006290849673202615,0.0031862745098039215
historical drought,0.16274509803921577,0.1568627450980392,0.15661764705882353,0.14975490196078425,0.1465686274509804,0.14730392156862746,0.14509803921568626,0.14387254901960786,0.13235294117647062,0.14705882352941171,0.13455882352941173,0.1352941176470588,0.1323529411764706,0.12598039215686274,0.13284313725490193,0.11838235294117645,0.15465686274509804,0.1399509803921568,0.1316176470588235,0.12426470588235296
historical severe drought,0.006372549019607842,0.004411764705882353,0.004411764705882353,0.003676470588235294,0.0031862745098039215,0.003431372549019608,0.003431372549019608,0.004656862745098039,0.0012254901960784314,0.0036764705882352936,0.0007352941176470588,0.0014705882352941176,0.0012254901960784314,0.0007352941176470588,0.0012254901960784314,0.00024509803921568627,0.00392156862745098,0.003186274509803921,0.0004901960784313725,0.0012254901960784316
drought score,5.0,11.0,19.0,23.0,19.0,19.0,17.0,13.0,5.0,3.0,5.0,9.0,9.0,14.0,16.0,2.0,3.0,5.0,2.0,8.0
modified drought score,7.507530120481921,16.167708333333337,28.30672926447573,32.92525913802512,26.752508361204015,26.597892401552965,23.67173423423423,18.743327654741623,7.1666666666666625,4.3100000000000005,7.094717668488162,13.10326086956522,12.872222222222218,20.273670557717253,23.606396063960645,2.978605935127675,4.446909667194928,7.6007005253940445,3.0242085661080083,11.15055884286653
water demand,48.5,188.1,89.1,120.4,27.1,27.1,20.8,134.5,39.6,17.0,27.2,14.6,14.6,95.3,149.0,20.0,19.3,10.8,7.4,2.5
original drought hazard level,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
future drought hazard level,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0
"water demand level(2=high, 1=low)",1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
drought risk,1.0,4.0,6.0,6.0,3.0,3.0,3.0,6.0,1.0,1.0,1.0,2.0,2.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0
risk level,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
