,基隆市,臺北市,新北市,桃園市,新竹市,新竹縣,苗栗縣,臺中市,彰化縣,南投縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,澎湖縣
drought,0.19431818181818183,0.18333333333333332,0.1875,0.17462121212121212,0.1734848484848485,0.17083333333333336,0.17083333333333336,0.17575757575757578,0.16704545454545455,0.1799242424242424,0.17083333333333336,0.1700757575757576,0.16704545454545458,0.1632575757575758,0.16856060606060608,0.15075757575757576,0.18143939393939393,0.1696969696969697,0.16590909090909092,0.14734848484848487
severe drought,0.017045454545454544,0.014015151515151513,0.01515151515151515,0.013636363636363636,0.012878787878787878,0.014015151515151515,0.013257575757575758,0.010606060606060605,0.0037878787878787884,0.009469696969696968,0.0030303030303030303,0.003409090909090909,0.0026515151515151517,0.0015151515151515152,0.004545454545454546,0.0003787878787878788,0.01363636363636364,0.009848484848484848,0.004924242424242425,0.0018939393939393938
historical drought,0.16249999999999998,0.15833333333333333,0.15606060606060607,0.1484848484848486,0.14772727272727276,0.14772727272727276,0.14696969696969706,0.1431818181818182,0.1261363636363636,0.14356060606060625,0.12840909090909086,0.12840909090909092,0.12310606060606057,0.1147727272727272,0.12575757575757568,0.11174242424242435,0.1522727272727269,0.13787878787878782,0.12310606060606066,0.11174242424242439
historical severe drought,0.005681818181818181,0.004166666666666667,0.0037878787878787876,0.0030303030303030303,0.0018939393939393938,0.002272727272727273,0.0022727272727272735,0.003030303030303033,0.0007575757575757576,0.002272727272727275,0.0003787878787878788,0.0007575757575757575,0.0007575757575757575,0.0007575757575757575,0.0007575757575757575,0.0003787878787878788,0.0030303030303030286,0.0022727272727272726,0.0,0.0015151515151515158
drought score,5.0,11.0,19.0,23.0,19.0,19.0,17.0,13.0,5.0,3.0,5.0,9.0,9.0,14.0,16.0,2.0,3.0,5.0,2.0,8.0
modified drought score,5.97902097902098,12.736842105263158,22.82766990291262,27.04846938775508,22.312820512820508,21.97179487179487,19.76030927835051,15.957671957671959,6.621621621621624,3.759894459102897,6.651917404129797,11.920353982300886,12.212307692307698,19.91419141914193,21.445783132530135,2.69830508474576,3.5746268656716507,6.153846153846157,2.695384615384614,10.549152542372868
water demand,48.5,188.1,89.1,120.4,27.1,27.1,20.8,134.5,39.6,17.0,27.2,14.6,14.6,95.3,149.0,20.0,19.3,10.8,7.4,2.5
original drought hazard level,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
future drought hazard level,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0
"water demand level(2=high, 1=low)",1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
drought risk,1.0,4.0,6.0,6.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0
risk level,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
