,基隆市,臺北市,新北市,桃園市,新竹市,新竹縣,苗栗縣,臺中市,彰化縣,南投縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,澎湖縣
drought,0.20404040404040402,0.19595959595959594,0.19267676767676767,0.1838383838383838,0.17929292929292923,0.176010101010101,0.17575757575757572,0.17474747474747476,0.16540404040404041,0.17449494949494948,0.16338383838383838,0.16287878787878785,0.1601010101010101,0.151010101010101,0.15833333333333335,0.14065656565656562,0.18863636363636363,0.1737373737373737,0.15984848484848485,0.15202020202020203
severe drought,0.02550505050505051,0.019191919191919194,0.020202020202020207,0.013636363636363637,0.01186868686868687,0.013131313131313131,0.010606060606060605,0.009595959595959595,0.003282828282828283,0.008585858585858586,0.0025252525252525255,0.002777777777777778,0.0017676767676767678,0.0012626262626262625,0.00303030303030303,0.00101010101010101,0.016414141414141416,0.00909090909090909,0.004292929292929293,0.00101010101010101
historical drought,0.1636363636363637,0.15833333333333335,0.15808080808080807,0.15101010101010112,0.1474747474747475,0.1482323232323233,0.14595959595959593,0.14393939393939384,0.13181818181818178,0.14722222222222192,0.13434343434343432,0.13535353535353517,0.13232323232323226,0.12601010101010085,0.13308080808080788,0.1191919191919193,0.15631313131313132,0.14116161616161593,0.13257575757575754,0.1239898989898987
historical severe drought,0.0065656565656565654,0.004545454545454545,0.004545454545454548,0.0037878787878787906,0.0032828282828282845,0.0035353535353535364,0.0035353535353535356,0.004797979797979797,0.0012626262626262632,0.0037878787878787867,0.0007575757575757577,0.001515151515151516,0.0012626262626262634,0.0007575757575757581,0.0012626262626262632,0.0002525252525252525,0.004040404040404034,0.003282828282828277,0.000505050505050505,0.001262626262626263
drought score,5.0,11.0,19.0,23.0,19.0,19.0,17.0,13.0,5.0,3.0,5.0,9.0,9.0,14.0,16.0,2.0,3.0,5.0,2.0,8.0
modified drought score,6.234567901234565,13.614035087719294,23.158146964856233,27.99999999999997,23.099315068493134,22.560477001703568,20.47058823529412,15.782456140350888,6.273946360153259,3.555746140651808,6.080827067669174,10.830223880597028,10.889312977099243,16.77755511022046,19.036053130929822,2.360169491525421,3.6203554119547654,6.153846153846162,2.411428571428572,9.808553971486784
water demand,48.5,188.1,89.1,120.4,27.1,27.1,20.8,134.5,39.6,17.0,27.2,14.6,14.6,95.3,149.0,20.0,19.3,10.8,7.4,2.5
original drought hazard level,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
future drought hazard level,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0
"water demand level(2=high, 1=low)",1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
drought risk,1.0,4.0,6.0,6.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,2.0
risk level,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0
