,基隆市,臺北市,新北市,桃園市,新竹市,新竹縣,苗栗縣,臺中市,彰化縣,南投縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,澎湖縣
drought,0.2353535353535353,0.22904040404040402,0.22853535353535356,0.2181818181818182,0.20681818181818182,0.2055555555555556,0.19898989898989894,0.20151515151515148,0.18484848484848485,0.20808080808080812,0.1888888888888889,0.18989898989898993,0.1861111111111111,0.1765151515151515,0.18510101010101015,0.17070707070707075,0.22525252525252523,0.20984848484848484,0.18888888888888888,0.176010101010101
severe drought,0.035606060606060606,0.026262626262626265,0.028030303030303037,0.023232323232323233,0.018939393939393936,0.018686868686868686,0.015404040404040403,0.014646464646464649,0.004545454545454545,0.012121212121212121,0.002525252525252525,0.0032828282828282827,0.0015151515151515152,0.0007575757575757576,0.004797979797979798,0.0012626262626262627,0.02171717171717172,0.014898989898989901,0.00404040404040404,0.0012626262626262627
historical drought,0.1636363636363637,0.15833333333333335,0.15808080808080807,0.15101010101010112,0.1474747474747475,0.1482323232323233,0.14595959595959593,0.14393939393939384,0.13181818181818178,0.14722222222222192,0.13434343434343432,0.13535353535353517,0.13232323232323226,0.12601010101010085,0.13308080808080788,0.1191919191919193,0.15631313131313132,0.14116161616161593,0.13257575757575754,0.1239898989898987
historical severe drought,0.0065656565656565654,0.004545454545454545,0.004545454545454548,0.0037878787878787906,0.0032828282828282845,0.0035353535353535364,0.0035353535353535356,0.004797979797979797,0.0012626262626262632,0.0037878787878787867,0.0007575757575757577,0.001515151515151516,0.0012626262626262634,0.0007575757575757581,0.0012626262626262632,0.0002525252525252525,0.004040404040404034,0.003282828282828277,0.000505050505050505,0.001262626262626263
drought score,5.0,11.0,19.0,23.0,19.0,19.0,17.0,13.0,5.0,3.0,5.0,9.0,9.0,14.0,16.0,2.0,3.0,5.0,2.0,8.0
modified drought score,7.191358024691353,15.912280701754382,27.46805111821087,33.23076923076921,26.64554794520547,26.347529812606467,23.176470588235293,18.20000000000001,7.011494252873565,4.240137221269306,7.030075187969926,12.62686567164181,12.658396946564888,19.611222444889805,22.25426944971541,2.864406779661015,4.323101777059773,7.432915921288026,2.8495238095238102,11.356415478615096
water demand,48.5,188.1,89.1,120.4,27.1,27.1,20.8,134.5,39.6,17.0,27.2,14.6,14.6,95.3,149.0,20.0,19.3,10.8,7.4,2.5
original drought hazard level,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
future drought hazard level,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0
"water demand level(2=high, 1=low)",1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
drought risk,1.0,4.0,6.0,6.0,3.0,3.0,3.0,6.0,1.0,1.0,1.0,2.0,2.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0
risk level,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
