,基隆市,臺北市,新北市,桃園市,新竹市,新竹縣,苗栗縣,臺中市,彰化縣,南投縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,澎湖縣
drought,0.1776515151515152,0.16893939393939394,0.1712121212121212,0.16250000000000003,0.16742424242424242,0.15833333333333333,0.15871212121212122,0.16022727272727275,0.1446969696969697,0.15871212121212122,0.14545454545454548,0.15075757575757576,0.1390151515151515,0.14128787878787882,0.15265151515151518,0.13749999999999998,0.16704545454545455,0.1579545454545455,0.1534090909090909,0.12575757575757576
severe drought,0.015530303030303033,0.011363636363636362,0.010606060606060605,0.006818181818181818,0.005681818181818182,0.005681818181818182,0.004545454545454546,0.004545454545454546,0.0015151515151515152,0.004166666666666667,0.0007575757575757576,0.0015151515151515152,0.0003787878787878788,0.0003787878787878788,0.0022727272727272726,0.0,0.007954545454545454,0.004166666666666667,0.0030303030303030303,0.0007575757575757576
historical drought,0.16249999999999998,0.15833333333333333,0.15606060606060607,0.1484848484848486,0.14772727272727276,0.14772727272727276,0.14696969696969706,0.1431818181818182,0.1261363636363636,0.14356060606060625,0.12840909090909086,0.12840909090909092,0.12310606060606057,0.1147727272727272,0.12575757575757568,0.11174242424242435,0.1522727272727269,0.13787878787878782,0.12310606060606066,0.11174242424242439
historical severe drought,0.005681818181818181,0.004166666666666667,0.0037878787878787876,0.0030303030303030303,0.0018939393939393938,0.002272727272727273,0.0022727272727272735,0.003030303030303033,0.0007575757575757576,0.002272727272727275,0.0003787878787878788,0.0007575757575757575,0.0007575757575757575,0.0007575757575757575,0.0007575757575757575,0.0003787878787878788,0.0030303030303030286,0.0022727272727272726,0.0,0.0015151515151515158
drought score,5.0,11.0,19.0,23.0,19.0,19.0,17.0,13.0,5.0,3.0,5.0,9.0,9.0,14.0,16.0,2.0,3.0,5.0,2.0,8.0
modified drought score,5.466200466200468,11.73684210526316,20.844660194174757,25.170918367346925,21.533333333333328,20.36410256410256,18.358247422680403,14.547619047619047,5.735735735735737,3.3166226912928716,5.6637168141592955,10.566371681415928,10.163076923076925,17.23432343234325,19.421686746987966,2.4610169491525395,3.2910447761194117,5.728021978021981,2.492307692307691,9.003389830508462
water demand,48.5,188.1,89.1,120.4,27.1,27.1,20.8,134.5,39.6,17.0,27.2,14.6,14.6,95.3,149.0,20.0,19.3,10.8,7.4,2.5
original drought hazard level,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
future drought hazard level,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0
"water demand level(2=high, 1=low)",1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
drought risk,1.0,4.0,6.0,6.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,2.0
risk level,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0
